time,vbus,ibus,power,vdp,vdm,wh,temp
00:00:00.000,5.2886,0.6927,3.6635,0.18,0.16,0.0,28.4
00:00:00.010,5.2887,0.6926,3.663,1.346,1.355,1e-05,28.4
00:00:00.020,5.2887,0.6927,3.6635,0.0,0.0,2e-05,28.4
00:00:00.030,5.2886,0.6807,3.6002,1.673,1.68,3.0000000000000004e-05,28.4
00:00:00.040,5.2886,0.6936,3.6682,1.292,1.289,4e-05,28.4
00:00:00.050,5.2886,0.6928,3.6641,0.0,0.0,5e-05,28.4
00:00:00.060,5.2887,0.6807,3.5998,1.733,1.742,6.000000000000001e-05,28.4
00:00:00.070,5.2887,0.6809,3.6008,1.248,1.249,7.000000000000001e-05,28.4
00:00:00.080,5.2887,0.6917,3.6583,0.008,0.004,8e-05,28.4
00:00:00.090,5.2887,0.6916,3.6577,1.801,1.806,9e-05,28.4
00:00:00.100,5.2887,0.6915,3.6571,1.206,1.204,0.0001,28.4
00:00:00.110,5.2887,0.6914,3.6568,0.07,0.065,0.00011,28.4
00:00:00.120,5.2886,0.6913,3.6561,1.89,1.907,0.00012000000000000002,28.4
00:00:00.130,5.2886,0.6914,3.6565,1.156,1.146,0.00013000000000000002,28.4
00:00:00.140,5.2886,0.691,3.6547,0.165,0.152,0.00014000000000000001,28.4
00:00:00.150,5.2886,0.6911,3.6552,1.998,2.018,0.00015000000000000001,28.4
00:00:00.160,5.2886,0.691,3.6547,1.106,1.102,0.00016,28.4
00:00:00.170,5.2886,0.6911,3.6549,2.307,2.323,0.00017,28.4
00:00:00.180,5.2886,0.691,3.6544,0.259,0.225,0.00018,28.4
00:00:00.190,5.2886,0.7016,3.7103,2.083,2.089,0.00019,28.4
00:00:00.200,5.2886,0.6967,3.6847,1.05,1.046,0.0002,28.4
00:00:00.210,5.2885,0.6964,3.6828,0.412,0.409,0.00021,28.4
00:00:00.220,5.2885,0.6849,3.622,2.187,2.224,0.00022,28.4
00:00:00.230,5.2886,0.6959,3.6801,0.986,0.984,0.00023,28.4
00:00:00.240,5.2886,0.696,3.6807,0.596,0.539,0.00024000000000000003,28.4
00:00:00.250,5.2886,0.6786,3.5888,2.392,2.369,0.00025,28.4
00:00:00.260,5.2886,0.6917,3.6579,0.888,0.888,0.00026000000000000003,28.4
00:00:00.270,5.2888,0.6936,3.6685,0.755,0.743,0.00027,28.4
00:00:00.280,5.2887,0.6934,3.6672,2.455,2.479,0.00028000000000000003,28.4
00:00:00.290,5.2887,0.6934,3.6672,2.455,2.479,0.00029,28.4
00:00:00.300,5.2887,0.6832,3.6133,0.793,0.787,0.00030000000000000003,28.4
00:00:00.310,5.2887,0.6834,3.6145,1.679,1.685,0.00031,28.4
00:00:00.320,5.2888,0.6836,3.6155,2.391,2.411,0.00032,28.4
00:00:00.330,5.2887,0.6841,3.6179,0.711,0.701,0.00033000000000000005,28.4
00:00:00.340,5.2887,0.6943,3.6718,1.063,1.112,0.00034,28.4
00:00:00.350,5.2888,0.6941,3.6708,2.313,2.332,0.00035000000000000005,28.4
00:00:00.360,5.2888,0.6937,3.6689,0.608,0.604,0.00036,28.4
00:00:00.370,5.2889,0.6937,3.669,1.242,1.24,0.00037000000000000005,28.4
00:00:00.380,5.2889,0.6934,3.6675,1.219,1.212,0.00038,28.4
00:00:00.390,5.2889,0.6933,3.6667,2.237,2.246,0.00039000000000000005,28.4
00:00:00.400,5.2889,0.6932,3.6661,0.509,0.497,0.0004,28.4
00:00:00.410,5.2888,0.693,3.6653,1.466,1.47,0.00041000000000000005,28.4
00:00:00.420,5.2888,0.693,3.665,2.407,2.438,0.00042,28.4
00:00:00.430,5.2888,0.6828,3.611,0.716,0.714,0.00043000000000000004,28.4
00:00:00.440,5.2889,0.695,3.6759,1.032,1.049,0.00044,28.4
00:00:00.450,5.2888,0.6985,3.694,2.333,2.345,0.00045000000000000004,28.4
00:00:00.460,5.2888,0.6983,3.693,0.643,0.636,0.00046,28.4
00:00:00.470,5.2887,0.6998,3.7009,1.216,1.209,0.00047000000000000004,28.4
00:00:00.480,5.2887,0.6857,3.6266,2.254,2.266,0.00048000000000000007,28.4
00:00:00.490,5.2886,0.6966,3.6841,0.536,0.516,0.0004900000000000001,28.4
00:00:00.500,5.2886,0.6966,3.6841,0.536,0.516,0.0005,28.4
00:00:00.510,5.2886,0.6841,3.6181,1.275,1.272,0.00051,28.4
00:00:00.520,5.2886,0.6944,3.6725,1.82,1.818,0.0005200000000000001,28.4
00:00:00.530,5.2886,0.6918,3.6585,1.194,1.197,0.0005300000000000001,28.4
00:00:00.540,5.2887,0.6918,3.6585,0.095,0.079,0.00054,28.4
00:00:00.550,5.2887,0.6992,3.6981,1.929,1.936,0.00055,28.4
00:00:00.560,5.2886,0.6873,3.6351,1.141,1.135,0.0005600000000000001,28.4
00:00:00.570,5.2886,0.6873,3.6351,1.537,1.542,0.0005700000000000001,28.4
00:00:00.580,5.2887,0.7289,3.855,0.189,0.162,0.00058,28.4
00:00:00.590,5.2887,0.6836,3.6154,2.016,2.023,0.00059,28.4
00:00:00.600,5.2887,0.6965,3.6834,1.096,1.088,0.0006000000000000001,28.4
00:00:00.610,5.2887,0.6768,3.5791,0.833,0.821,0.0006100000000000001,28.4
00:00:00.620,5.2887,0.6886,3.6416,1.797,1.807,0.00062,28.4
00:00:00.630,5.2886,0.6887,3.6422,1.205,1.203,0.00063,28.4
00:00:00.640,5.2886,0.6886,3.642,0.081,0.05,0.00064,28.4
00:00:00.650,5.2887,0.6994,3.6988,1.888,1.902,0.0006500000000000001,28.4
00:00:00.660,5.2887,0.686,3.628,1.158,1.15,0.0006600000000000001,28.4
00:00:00.670,5.2886,0.6996,3.6999,0.173,0.151,0.00067,28.4
00:00:00.680,5.2886,0.6996,3.6999,0.173,0.151,0.00068,28.4
00:00:00.690,5.2886,0.689,3.6438,2.004,2.01,0.0006900000000000001,28.4
00:00:00.700,5.2887,0.6865,3.6305,1.102,1.104,0.0007000000000000001,28.4
00:00:00.710,5.2886,0.6866,3.631,0.222,0.203,0.00071,28.4
00:00:00.720,5.2886,0.6893,3.6454,1.391,1.381,0.00072,28.4
00:00:00.730,5.2886,0.7001,3.7028,1.944,1.957,0.0007300000000000001,28.4
00:00:00.740,5.2886,0.6893,3.6454,0.278,0.264,0.0007400000000000001,28.4
00:00:00.750,5.2886,0.6997,3.7004,1.423,1.419,0.00075,28.4
00:00:00.760,5.2886,0.6997,3.7004,1.423,1.419,0.00076,28.4
00:00:00.770,5.2886,0.688,3.6385,1.771,1.793,0.0007700000000000001,28.4
00:00:00.780,5.2886,0.7003,3.7035,0.723,0.704,0.0007800000000000001,28.4
00:00:00.790,5.2886,0.7001,3.7028,0.16,0.147,0.00079,28.4
00:00:00.800,5.2886,0.6883,3.6401,1.457,1.469,0.0008,28.4
00:00:00.810,5.2886,0.6883,3.6401,1.587,1.564,0.0008100000000000001,28.4
00:00:00.820,5.2886,0.6882,3.6394,0.002,0.0,0.0008200000000000001,28.4
00:00:00.830,5.2887,0.6883,3.6404,1.347,1.355,0.0008300000000000001,28.4
00:00:00.840,5.2887,0.6883,3.6404,1.97,1.998,0.00084,28.4
00:00:00.850,5.2886,0.6884,3.6409,0.309,0.285,0.0008500000000000001,28.4
00:00:00.860,5.2887,0.6885,3.641,1.427,1.425,0.0008600000000000001,28.4
00:00:00.870,5.2887,0.7012,3.7082,1.844,1.815,0.0008700000000000001,28.4
00:00:00.880,5.2887,0.6899,3.6488,0.189,0.174,0.00088,28.4
00:00:00.890,5.2888,0.6948,3.6747,1.461,1.47,0.0008900000000000001,28.4
00:00:00.900,5.2886,0.6836,3.6153,1.617,1.603,0.0009000000000000001,28.4
00:00:00.910,5.2886,0.6861,3.6285,0.029,0.006,0.0009100000000000001,28.4
00:00:00.920,5.2886,0.6974,3.6885,0.533,0.491,0.00092,28.4
00:00:00.930,5.2886,0.6972,3.6871,2.345,2.363,0.00093,28.4
00:00:00.940,5.2886,0.6972,3.6871,2.345,2.363,0.0009400000000000001,28.4
00:00:00.950,5.2886,0.6982,3.6928,0.919,0.914,0.0009500000000000001,28.4
00:00:00.960,5.2887,0.698,3.6914,0.716,0.675,0.0009600000000000001,28.4
00:00:00.970,5.2887,0.6958,3.6796,2.456,2.476,0.00097,28.4
00:00:00.980,5.2887,0.6957,3.6794,1.183,1.133,0.0009800000000000002,28.4
00:00:00.990,5.2887,0.6956,3.679,0.824,0.814,0.00099,28.4
00:00:01.000,5.2887,0.6836,3.6155,0.877,0.865,0.001,28.4
00:00:01.010,5.2887,0.6937,3.669,2.414,2.433,0.001,28.4
00:00:01.020,5.2887,0.6836,3.6152,0.418,0.405,0.001,28.4
00:00:01.030,5.2887,0.6859,3.6273,0.448,0.424,0.001,28.4
00:00:01.040,5.2887,0.6859,3.6273,2.284,2.298,0.001,28.4
00:00:01.050,5.2886,0.6961,3.6813,0.938,0.935,0.001,28.4
00:00:01.060,5.2886,0.6923,3.6613,0.701,0.665,0.001,28.4
00:00:01.070,5.2887,0.6922,3.6606,2.451,2.472,0.001,28.4
00:00:01.080,5.2886,0.6814,3.6039,0.838,0.825,0.001,28.4
00:00:01.090,5.2886,0.6946,3.6734,0.846,0.828,0.001,28.4
00:00:01.100,5.2886,0.6942,3.6714,2.437,2.46,0.001,28.4
00:00:01.110,5.2887,0.6839,3.617,0.747,0.748,0.001,28.4
00:00:01.120,5.2887,0.6839,3.617,0.747,0.748,0.001,28.4
00:00:01.130,5.2887,0.7011,3.7077,0.0,0.0,0.001,28.4
00:00:01.140,5.2886,0.6893,3.6452,1.654,1.645,0.001,28.4
00:00:01.150,5.2887,0.6891,3.6443,1.294,1.293,0.001,28.4
00:00:01.160,5.2887,0.6892,3.645,0.0,0.0,0.001,28.4
00:00:01.170,5.2887,0.6893,3.6455,1.727,1.729,0.001,28.4
00:00:01.180,5.2887,0.6894,3.6461,1.256,1.256,0.001,28.4
00:00:01.190,5.2887,0.6895,3.6464,2.327,2.411,0.001,28.4
00:00:01.200,5.2888,0.7323,3.8729,0.005,0.003,0.001,28.4
00:00:01.210,5.2889,0.6914,3.6569,1.79,1.801,0.001,28.4
00:00:01.220,5.2889,0.6913,3.6562,1.046,1.038,0.001,28.4
00:00:01.230,5.2888,0.6916,3.6577,0.0,0.0,0.001,28.4
00:00:01.240,5.2888,0.6913,3.6562,1.639,1.647,0.001,28.4
00:00:01.250,5.2888,0.6917,3.6581,1.299,1.293,0.001,28.4
00:00:01.260,5.2887,0.6915,3.6569,0.0,0.0,0.001,28.4
00:00:01.270,5.2887,0.6894,3.646,1.713,1.711,0.001,28.4
00:00:01.280,5.2887,0.6901,3.6496,1.252,1.261,0.001,28.4
00:00:01.290,5.2888,0.69,3.6494,0.003,0.003,0.001,28.4
00:00:01.300,5.2887,0.69,3.6494,1.785,1.797,0.001,28.4
00:00:01.310,5.2887,0.6899,3.6485,1.217,1.212,0.001,28.4
00:00:01.320,5.2887,0.6899,3.6485,1.217,1.212,0.001,28.4
00:00:01.330,5.2887,0.6898,3.6481,0.592,0.572,0.001,28.4
00:00:01.340,5.2887,0.6898,3.6479,1.244,1.253,0.001,28.4
00:00:01.350,5.2886,0.6896,3.647,2.212,2.222,0.001,28.4
00:00:01.360,5.2887,0.6896,3.6472,0.49,0.476,0.001,28.4
00:00:01.370,5.2887,0.6895,3.6467,1.304,1.302,0.001,28.4
00:00:01.380,5.2886,0.6895,3.6466,1.087,1.076,0.001,28.4
