time,vbus,ibus,power,vdp,vdm,wh,temp
00:00:00.000,5.2897,0.6881,3.6396,1.09,1.1,0.0,28.6
00:00:00.010,5.2898,0.6882,3.6406,0.85,0.797,1e-05,28.598000000000003
00:00:00.020,5.2899,0.6882,3.6403,1.773,1.779,2e-05,28.596
00:00:00.030,5.2898,0.6883,3.6408,1.214,1.213,3.0000000000000004e-05,28.594
00:00:00.040,5.2897,0.6884,3.6412,0.112,0.08,4e-05,28.592000000000002
00:00:00.050,5.2897,0.6842,3.6191,1.872,1.88,5e-05,28.59
00:00:00.060,5.2896,0.6954,3.6781,1.156,1.152,6.000000000000001e-05,28.588
00:00:00.070,5.2896,0.6837,3.6163,0.2,0.183,7.000000000000001e-05,28.586000000000002
00:00:00.080,5.2895,0.6995,3.7003,1.968,1.983,8e-05,28.584
00:00:00.090,5.2895,0.6881,3.6396,1.108,1.101,9e-05,28.582
00:00:00.100,5.2895,0.6845,3.6207,0.309,0.3,0.0001,28.580000000000002
00:00:00.110,5.2895,0.6849,3.6226,1.382,1.378,0.00011,28.578
00:00:00.120,5.2894,0.6967,3.6854,1.906,1.929,0.00012000000000000002,28.576
00:00:00.130,5.2893,0.6964,3.6837,0.294,0.278,0.00013000000000000002,28.574
00:00:00.140,5.2893,0.6849,3.6228,1.413,1.415,0.00014000000000000001,28.572000000000003
00:00:00.150,5.2892,0.6989,3.6966,1.401,1.387,0.00015000000000000001,28.57
00:00:00.160,5.2892,0.6988,3.6962,1.768,1.76,0.00016,28.568
00:00:00.170,5.2892,0.6863,3.6301,0.176,0.16,0.00017,28.566000000000003
00:00:00.180,5.2892,0.6992,3.6981,1.453,1.466,0.00018,28.564
00:00:00.190,5.2892,0.6957,3.6798,1.529,1.541,0.00019,28.562
00:00:00.200,5.2892,0.6955,3.6789,0.009,0.004,0.0002,28.560000000000002
00:00:00.210,5.2891,0.6851,3.6237,1.339,1.351,0.00021,28.558
00:00:00.220,5.2891,0.6895,3.6466,1.95,1.948,0.00022,28.556
00:00:00.230,5.2891,0.6896,3.6472,0.315,0.291,0.00023,28.554000000000002
00:00:00.240,5.2892,0.6896,3.6473,1.421,1.417,0.00024000000000000003,28.552
00:00:00.250,5.2892,0.6975,3.689,1.782,1.781,0.00025,28.55
00:00:00.260,5.2892,0.6861,3.6286,0.198,0.19,0.00026000000000000003,28.548000000000002
00:00:00.270,5.2892,0.6861,3.6286,0.198,0.19,0.00027,28.546
00:00:00.280,5.2892,0.6965,3.6836,1.465,1.46,0.00028000000000000003,28.544
00:00:00.290,5.2892,0.6809,3.6013,1.589,1.575,0.00029,28.542
00:00:00.300,5.2892,0.6946,3.674,0.022,0.014,0.00030000000000000003,28.54
00:00:00.310,5.2892,0.6943,3.6723,0.536,0.546,0.00031,28.538
00:00:00.320,5.2893,0.6942,3.6716,2.318,2.292,0.00032,28.536
00:00:00.330,5.2892,0.6927,3.6641,0.91,0.907,0.00033000000000000005,28.534
00:00:00.340,5.2892,0.6926,3.6633,0.735,0.708,0.00034,28.532
00:00:00.350,5.2892,0.6926,3.6633,0.735,0.708,0.00035000000000000005,28.53
00:00:00.360,5.2891,0.6924,3.6621,1.103,1.11,0.00036,28.528
00:00:00.370,5.2891,0.6924,3.662,2.433,2.454,0.00037000000000000005,28.526
00:00:00.380,5.2891,0.6819,3.6067,0.828,0.821,0.00038,28.524
00:00:00.390,5.2891,0.6966,3.6846,0.909,0.892,0.00039000000000000005,28.522000000000002
00:00:00.400,5.2892,0.6959,3.681,2.385,2.406,0.0004,28.52
00:00:00.410,5.2892,0.6969,3.6858,0.427,0.413,0.00041000000000000005,28.518
00:00:00.420,5.2892,0.6963,3.6828,0.471,0.511,0.00042,28.516000000000002
00:00:00.430,5.2892,0.6959,3.6808,2.282,2.29,0.00043000000000000004,28.514
00:00:00.440,5.2892,0.6974,3.6887,0.927,0.918,0.00044,28.512
00:00:00.450,5.2891,0.6971,3.6872,0.67,0.718,0.00045000000000000004,28.51
00:00:00.460,5.2891,0.6859,3.6278,2.431,2.442,0.00046,28.508
00:00:00.470,5.2892,0.6862,3.6295,0.832,0.831,0.00047000000000000004,28.506
00:00:00.480,5.2891,0.6959,3.6809,0.853,0.872,0.00048000000000000007,28.504
00:00:00.490,5.2891,0.6822,3.6084,2.404,2.421,0.0004900000000000001,28.502
00:00:00.500,5.2892,0.6895,3.6472,0.754,0.741,0.0005,28.5
00:00:00.510,5.2891,0.6895,3.647,0.0,0.0,0.00051,28.498
00:00:00.520,5.2891,0.6898,3.6482,1.638,1.648,0.0005200000000000001,28.496
00:00:00.530,5.2891,0.6898,3.6482,1.638,1.648,0.0005300000000000001,28.494
00:00:00.540,5.289,0.6897,3.6477,1.29,1.287,0.00054,28.492
00:00:00.550,5.289,0.6898,3.6483,0.002,0.0,0.00055,28.49
00:00:00.560,5.289,0.6898,3.6482,0.61,0.611,0.0005600000000000001,28.488
00:00:00.570,5.289,0.6898,3.6486,1.721,1.732,0.0005700000000000001,28.486
00:00:00.580,5.2889,0.6898,3.6482,1.262,1.258,0.00058,28.483999999999998
00:00:00.590,5.289,0.6899,3.6489,0.025,0.013,0.00059,28.482
00:00:00.600,5.2889,0.6866,3.6314,1.781,1.804,0.0006000000000000001,28.48
00:00:00.610,5.2891,0.6868,3.6327,1.038,1.032,0.0006100000000000001,28.477999999999998
00:00:00.620,5.2891,0.687,3.6335,0.0,0.0,0.00062,28.476
